Date,Open,High,Low,Close,Adj Close,Volume,Returns
2023-11-20,234.0399932861328,237.10000610351562,231.02000427246094,235.60000610351562,235.60000610351562,116320100,0.005548455120893081
2023-11-21,235.0399932861328,243.6199951171875,233.33999633789062,241.1999969482422,241.1999969482422,122288000,0.023769060694616817
2023-11-22,242.0399932861328,244.00999450683594,231.39999389648438,234.2100067138672,234.2100067138672,117950600,-0.028980059381488954
2023-11-24,233.75,238.75,232.3300018310547,235.4499969482422,235.4499969482422,65125200,0.00529435207219775
2023-11-27,236.88999938964844,238.3300018310547,232.10000610351562,236.0800018310547,236.0800018310547,112031800,0.0026757481035388775
2023-11-28,236.67999267578125,247.0,234.00999450683594,246.72000122070312,246.72000122070312,148549900,0.04506946504203557
2023-11-29,249.2100067138672,252.75,242.75999450683594,244.13999938964844,244.13999938964844,135401300,-0.010457205813430348
2023-11-30,245.13999938964844,245.22000122070312,236.91000366210938,240.0800018310547,240.0800018310547,132353200,-0.016629792613843564
2023-12-01,233.13999938964844,240.19000244140625,231.89999389648438,238.8300018310547,238.8300018310547,121173500,-0.005206597761023168
2023-12-04,235.75,239.3699951171875,233.2899932861328,235.5800018310547,235.5800018310547,104099800,-0.01360800559009756
2023-12-05,233.8699951171875,246.66000366210938,233.6999969482422,238.72000122070312,238.72000122070312,137971100,0.013328802806870987
2023-12-06,242.9199981689453,246.57000732421875,239.1699981689453,239.3699951171875,239.3699951171875,126436200,0.002722829646282676
2023-12-07,241.5500030517578,244.0800018310547,236.97999572753906,242.63999938964844,242.63999938964844,107142300,0.01366087788429815
2023-12-08,240.27000427246094,245.27000427246094,239.27000427246094,243.83999633789062,243.83999633789062,102980100,0.0049455858525417895
2023-12-11,242.74000549316406,243.44000244140625,237.4499969482422,239.74000549316406,239.74000549316406,97913900,-0.01681426716823431
2023-12-12,238.5500030517578,238.99000549316406,233.8699951171875,237.00999450683594,237.00999450683594,95328300,-0.011387381846063915
2023-12-13,234.19000244140625,240.3000030517578,228.1999969482422,239.2899932861328,239.2899932861328,146286300,0.009619842336358264
2023-12-14,241.22000122070312,253.8800048828125,240.7899932861328,251.0500030517578,251.0500030517578,160829200,0.04914543063053567
2023-12-15,251.2100067138672,254.1300048828125,248.3000030517578,253.5,253.5,135720800,0.009758999874367902
2023-12-18,253.77999877929688,258.739990234375,251.36000061035156,252.0800018310547,252.0800018310547,116416500,-0.005601570686174839
2023-12-19,253.47999572753906,258.3399963378906,253.00999450683594,257.2200012207031,257.2200012207031,106737400,0.0203903496997484
2023-12-20,256.4100036621094,259.8399963378906,247.0,247.13999938964844,247.13999938964844,125097000,-0.03918825045959673
2023-12-21,251.89999389648438,254.8000030517578,248.5500030517578,254.5,254.5,109594200,0.029780693649462897
2023-12-22,256.760009765625,258.2200012207031,251.3699951171875,252.5399932861328,252.5399932861328,93249800,-0.007701401626197146
2023-12-26,254.49000549316406,257.9700012207031,252.91000366210938,256.6099853515625,256.6099853515625,86892400,0.01611622781987765
2023-12-27,258.3500061035156,263.3399963378906,257.5199890136719,261.44000244140625,261.44000244140625,106494400,0.018822405072142834
2023-12-28,263.6600036621094,265.1300048828125,252.7100067138672,253.17999267578125,253.17999267578125,113619900,-0.03159428430420175
2023-12-29,255.10000610351562,255.19000244140625,247.42999267578125,248.47999572753906,248.47999572753906,100615300,-0.018563856087399966
